ID,Clan Name (Place holders),Flag/Symbol,Clan Starting Status,Government,Location In the Game Map,Culture,Home Terrain,Religion,Total Starting Population,Unique Missions,Provinces Under The Clan In The Start,Descriptions
1,Full Moon Clan,Blue Moon with a white background,Major,Chiefdom,Coastal Red state that has a river through it ,Native/Omi,Flat,"Moon God, Sprites, Ancestral Worship ",37000,"Create A Ice Capital City, Create A Walled Capital City, Form The Bear Knights, Form The Crescent Moon Kingdom, Gain The Moon God Blessing",,
2,Whale Clan,A blue Kyogre with a white background,Major,Chiefdom,Coastal yellow state in the far wast,Native,Flat,"Whale God, Sprites, Ancestral Worship ",32780,"Create A Ice Capital City, Create A Walled Capital City, Form The Bear Knights, Gain The Whale Beast Blessing",,
5,Trading,Golden Trading Scale in black background,Major,Oligarchy,Coastal Southern most Black,Direct decendents of ancient atlantians,Hilly East and flat wast,"Ocean God, Sprites, Ancestral Worship ",30560,"Create A Ice Capital City, Create A Walled Capital City, Form The Bear Knights, Form The Crescent Moon Kingdom, Gain The Ocean God Blessing",,
4,Boat Clan,Side of Boat on water,Major,Rule by the strong,Blue in the far east,Native/Pupa,Hilly and Rocky,Sprites,25000,"Create A Walled Capital City, Expand Into The Tundra",,
3,Star Clan,White start constellation with blue/dark background,Major,Chiefdom,Coastal Red,Pupa/Native,Hilly,Red Star God,20000,"Create A Walled Capital City, Expand Into The Tundra, Form The Bear Knights, Gain The Star God Blessing",,
6,Fish,2 Koi swimming around each other,Major,Chief Head of State,Center South Yellow Green with a river running through it,Native/Omi,"Flat, Simi Forested","Sprites, Ancestral Worship ",40000,Form The Forest Kingdom,,
7,Forest,A tree in brown with green backround,Major,Elected City-State,Center South Dark Green,Native,Forested,"Sprites, Ancestral Worship ",38579,Form The Forest Kingdom,,
8,Farm,A farmhouse in brown with green background,Major,Elected City-State,Center Yellow Brown blow blue,Omi,Flat,"Sprites, Ancestral Worship ",37856,Form The Forest Kingdom,,
9,Black Mountain Clan,black mountains with blue sky,Major,Monarchy,North Purple,Omi/Native/Shatani,Mountainous,"Sprites, Ancestral Worship ",39875,"Form The Crescent Moon Kingdom, Form The Elite Knights",,
10,Crystal Clan,White Crystal Crown with sky blue background,Major,Chief Head of State,North Orange,Native,Mountainous,"Sprites, Ancestral Worship ",28757,"Expand Into The Tundra, Form The Elite Knights",,
11,Windy Clan,Black wind letter symbol with light yellow background,Major,Chief Head of State,North West Red,Native,Mountainous,"Sprites, Ancestral Worship ",14000,"Expand Into The Tundra, Form The Elite Knights",,
